职位编码,职位名称,工作地址,薪资范围,企业性质,公司全称,人员规模,所属行业,职位描述,公司简介
SLS-SW-0044,软件销售,广州·黄埔·联和,1.1-1.5万,民营,广州海颐软件有限公司,500-999人,计算机软件,岗位职责：1、负责公司产品在行业内的营销销售工作2、负责与行业客户中高层决策链建立联系，保持长期的合作关系，确保服务的延续性，挖掘客户需求，完成公司下达的目标3、拓展行业新客户，对所负责行业的老客户进行梳理和需求激发4、深入了解行业客户需求，根据行业特点及客户需求组织编写行业场景化解决方案5、负责行业市场策略、销售策略、产品策略的制定任职资格： 1、本科及以上学历2、熟悉相关行业客户市场，具备1-2年以上销售经验，有一定的客户关系积累和客户资源3、工作态度端正，学习能力强，责任心强，具备团队协作意识4、思维清晰，具有较强的文字和演讲表达能力，抗压能力强,公司简介】广州海颐软件有限公司前身为烟台海颐软件股份有限公司广州分公司，成立于2003年12月，并于2013年8月独立为广州海颐软件有限公司，注册资金5000万，在广西、云南、海南、贵州、新疆均设有办事处...
DEV-EMB-0053,Linux/QNX应用软件开发(J11579),广州·花都·秀全,1.6-3万,合资,东风日产乘用车公司,10000人以上,汽车研发/制造,"岗位职责: 1.负责车载 HMI 应用开发，基于 C++/Qt/QML 完成跨平台界面、业务逻辑及交互功能设计与实现； 2.参与软件架构设计与优化，灵活运用常用数据结构、算法及设计模式，提升代码可维护性与扩展性； 3.实现高性能图形渲染与动画效果，熟悉 OpenGL、Qt 2D/3D 技术及复杂交互场景开发； 4.负责跨平台集成与调试，掌握 Linux/QNX 环境下的交叉编译、部署及性能优化； 5.设计多线程与进程间通信机制（IPC），确保系统运行稳定、高效、低延迟； 6.参与通信功能开发与调试，熟悉 CAN、SOME/IP 等车载通信协议者优先； 7.支持团队协作开发与版本管理，熟练使用 Git 及持续集成工具，保证高质量交付。"" 任职要求: 软件工程，计算机类，电子信息类，自动化类，通信类等相关专业； 2年及以上Linux/QNX应用软件开发经验； 掌握Linux/QNX应用软件开发能力，精通C或C 语言。熟悉Qt/Unity，熟悉网络编程和多线程，熟悉arm平台应用软件开发；有图像处理经验，熟悉OpenCV和FPGA优先。； 具备较强的组织、计划和沟通能力；",东风汽车有限公司东风日产乘用车公司（以下简称东风日产）成立于2003年6月16日，是东风汽车集团有限公司旗下重要的乘用车事业板块，从事NISSAN品牌乘用车的研发、采购、制造、销售、服务业务，是国内为数不...
SLS-PRE-0006,顾问培训生（IT数字化咨询方向）,广州·海珠·南洲,1.2-1.8万,民营,广东中大管理咨询集团股份有限公司,500-999人,咨询服务,岗位职责： 1.参与大中型集团公司数字化转型咨询项目运作; 2.根据客户和项目需求，收集资料，分析数据，参与访谈、调研，撰写研究文章及报告； 3.参与项目解决方案设计（包括但不局限于数字化转型咨询、业务流程管理咨询、IT规划咨询、供应链管理咨询等），从问题出发，制定符合客户发展实际的问题解决方案； 4.关注相关行业动态并参与行业研究报告的撰写； 5.参与标杆企业研究，完成数据搜集及分析工作。 岗位要求： 1.学历要求：本科及以上； ? 2.专业要求：专业不限，管理科学与工程、软件工程、信息管理、信息系统等相关专业优先； 3.核心胜任力：具备较强的分析与解决问题的能力、表达沟通与团队协作能力、逻辑思维以及学习能力等。 职业发展： 商业分析员→ 咨询顾问→ 高级咨询顾问 → 资深咨询顾问 → 咨询总监 → 事业总经理,中大咨询集团，始于1993，是中国咨询行业的先行者与领航员30年稳健发展，正向世界级咨询公司行列迈进提供“咨询+培训+数字化”整体解决方案，帮助中国企业数字化转型全价值链条服务模块，各业务战略协同发...
TEST-SWE-0028,嵌入式软件测试,广州·花都·秀全,1-1.8万,民营,广州市凯泽利科技有限公司,100-299人,汽车研发/制造,工作职责： 1、负责智能座舱车机产品的系统测试工作； 2、负责产品测试计划和测试用例的编写及组织评审; 3、负责测试环境的建立，完成软件和系统合格性测试用例执行，确保测试任务按节点完成； 4、负责对产品测试bug的初步分析，测试报告/结果的输出及组织评审； 5、与产品部门或客户沟通协调测试相关问题，含测试计划打合，测试BUG缺陷的澄清与沟通复现。 任职资格： 1. 统招本科及以上学历，计算机或汽车电子等相关专业，3年以上车机、智能座舱产品测试工作经验； 2. 具备基本的CAN测试能力，熟练使用CANoe/V-Spy/USBCAN/PCAN等CAN收发器中的一种或者多种，能够看懂CAN矩阵表，并能够根据CAN矩阵表模拟发送相关信号或者能够根据CAN矩阵表制作dbc文件； 3. 具备独立制定测试方案、编写测试用例的能力，熟悉常用的编写测试用例的方法； 4. 能够理解客户的原始需求文档（含英文需求文档），能够在台架上模拟发送相关的信号以达成相关功能的测试； 5. 熟练掌握JiRa，禅道，TB等Bug管理工具中的一种或者多种； 6. 了解Android/QNX/Linux/AutoSar操作系统和架构，并熟练掌握基本操作指令，如ADB； 7. 熟悉CAN总线/车载以太网测试优先考虑； 8. 熟悉Python/Java/C/C++等编程语音，能够编写自动化工具/脚本优先考虑； 9. 工作积极性良好，有不断学习或提升自己能力的愿望； 10. 有独自带领团队完成大型项目测试经验者优先； 11. 有驾照且能独立驾驶车辆优先考虑。,广州市凯泽利科技有限公司，坐落于广州市天河区，是一家集整车开发与产品设计研发经验于一身的技术服务型企业。公司致力于为客户提供全方位的软件测试流程一站式服务，涵盖汽车技术支持、软件测试委外服务、测试...
OTH-OTH-0083,方正软件图书排版员,广州·市桥,6000-8000元,股份制企业,广州市生旭教育咨询有限公司,20-99人,新闻/出版,1、精通杂志排版软件：方正飞翔、方正书版、Ps等相关软件；2、有一定的创意能力，熟悉印刷流程3、学习能力强，能吃苦耐劳，具备良好团队合作意识；关注公司微信公众号可以了解公司情况：（生旭传媒）lingnanmingshi  社保、双休，上班时间，上午08：30—12：00，下午13：30—17：30；中午12：00—13：30为午膳休息时间  购买社保、双休，有工作经验者优先。熟悉方正飞翔软件、工资在6000元到8000，有年终奖相当于一个月工资。 职位福利：五险一金、绩效奖金、全勤奖、房补、员工旅游、节日福利、年终分红,生旭传媒创意：“一生二，二生三，三生万物”生旭传媒：就像初升的太阳，照耀着岭南教育万物生长，一生二，二生三，三生万物，不断循环，生生不息。表示岭南教育的大树，得到生旭传媒“品牌”阳光的力量，可以...
MIS-INF-0082,IT技术管理员/香港企业直招,广州·越秀·六榕,5000-7000元,民营,广州欢创信息咨询有限公司,500-999人,人力资源服务,IT客服：于客户联络中心内，为用户提供故障报修及技术支援服务，进度查询、解答客户日常使用的疑问，处理客户投诉等。  薪酬范围：税前5.7K-6.5K  底薪+绩效+项目津贴      上班时间：7*24小时轮班，每周工作40小时，平均每天8小时，  （晚上10点后下班有额外的夜班津贴），每周双休  岗位要求 :  1. 粤语纯正，英文听说读写良好；  2. 大专以上学历，具备有关客户服务经验更佳；      公司福利：  1.五险一金（入职试用期购买）  2.年底13薪  3.全薪病假6日  4.带薪年假8-15日  5.同时享有香港带薪法定假期(春节、清明节、劳动节、佛诞、端午、中秋国庆节、重阳节、圣诞节），假期多多  6.试用期薪酬和转正一样的，试用期薪资不会打折扣！  7.固定团建、下午茶,广州欢创信息咨询有限公司是一家全国性集团公司，以技术驱动的整体人·财解决方案服务商，全国80+自营分公司，500+服务网点，公司拥有人社局颁发的劳务经营许可、人力资源服务许可等相关行业资质，已获得行业门...
DEV-BE-0126,软件工程开发实习生,广州·天河·林和,130-140元/天,外商独资,锆德教育资讯(深圳)有限公司广州分公司,100-299人,咨询服务,"岗位内容： 1. Web、大数据和人工智能； 2. 从界面, 流程与后端数据沟通理解编程的需要及进行开发； 3. 实现和维护符合项目需求规范的可交付编程； 4. 按照测试指南进行内部功能和工艺测试； 5. 管理编程的不同版本 - 测试、预上线、上线。   岗位要求： 1. 大专及以上学历，计算机相关专业，有实际前端开发工作经验，有全栈开发经验优先； 2.具有英语及书面沟通能力者优先； 3. 熟练掌握 HTML、CSS JavaScript, XML、CSSHTML5 和RESTAPI； 4. 了解常见的前端框架，如 React、Vue 或 Angular； 5. 认识响应式设计和跨浏览器兼容性； 6. 认识掌握小程序和uniapp开发流程和框架； 7. 具备前端构建工具的使用经验，如 Webpack、Gulp 或 npm； 8. 认识Java 、C# ，熟悉基于Web的开发技术的实际编程：XML、CSSHTML5和RESTAPI等； 9. 有MySQL、PostgreSQL和MongoDB等主要数据库方面的实际编程经验； 10. 熟悉版本控制系統，如 Git； 11. 对技术有浓厚兴趣，具备良好的学习能力和沟通能力； 12. 责任心强，工作态度严谨，注重细节，追求完美,按時完成要求的工作； 13. 乐于分享，参与到团队内需求功能的方案逻辑设计相关讨论，互相分享技术心得，促进团队学习气氛。",GEA国际教育联盟(Global Education Alliance)成立于2009年，是全球领先的海外教育联盟，从出国留学申请切入，整合国内留学专家、海外院校等资源，为留学业务从业人员及合作机构提供院校信息专业资讯、培...
MIS-INF-0083,IT运维业务市场总监,广州·天河·五山,3-4万,其它,智联猎头,10000人以上,互联网,"岗位职责： ◆进行市场调研，分析IT运维服务（如AIOps、云运维、可观测行、托管服务等）的市场趋势、竞争格局和客户需求。◆制定清晰的市场进入/拓展策略、目标客户画像及年度/季度业务计划。◆独立或领导团队，主动寻找、挖掘和筛选潜在客户。◆定位和包装公司的运维服务产品组合，形成有竞争力的解决方案。◆主导与关键客户的全周期销售流程，包括需求沟通、方案演示、技术答疑、商务谈判和合同签订。任职要求：●本科及以上学历。●10年以上ToB科技服务销售或市场开拓经验，其中至少5年专注于IT运维、云计算、企业软件。● 深刻理解IT运维领域：熟悉ITIL/DevOps体系，了解主流监控工具（如Zabbix, Prometheus）、云平台（AWS/Azure/阿里云）及运维技术趋势（AIOps， 可观测性）。●能与技术专家和高层管理者进行有效对话，具备出色的演讲和方案呈现能力。● 能适应快节奏、目标导向的工作环境，勇于面对挑战并解决问题。",智联猎头作为智联招聘旗下品牌，以满足企业中高端岗位的人才招聘需求为出发点，整合全球优质资源，覆盖数字经济、新一代信息技术、人工智能、金融、电子信息、装备制造、生物医药与健康、房地产/建筑等数十个...
SLS-SW-0045,DeepSeek-软件销售（接受优秀新人）-带薪培训/1对1带教,广州·番禺·小谷围,8000-15000元,民营,探迹科技,1000-9999人,互联网,加入我们，与AI共舞，赋能企业未来汉数科技（探迹科技旗下的子公司）是国内领先的人工智能技术服务提供商，秉承“释放数据与 AI 的魅力”的使命，以业内领先的数据智能技术平台“太擎”为核心，为企业提供基于大数据与大模型的数字化转型解决方案，助力客户实现智能化升级。  【你将负责的核心工作】    1. 客户拓展与需求挖掘：通过多元化渠道（电话/网络/面访）推广“太擎”平台，深度挖掘企业客户的智能化转型需求（公司提供优质客户资源与线索库支持）；   2. 方案演示与价值传递：通过专业的产品讲解、线下拜访与方案演示，清晰传递产品价值，高效促成合作；   3. 市场策略与客情维护：分析市场动态，制定销售策略，并与客户建立长期、深度的合作关系，持续提升客户满意度；   4. 持续经营与价值延伸：通过定期回访、行业峰会/沙龙参与等方式，维护客情关系，拓展合作深度与广度。    【我们期待这样的你】    · 对互联网、ToB软件或人工智能领域有兴趣与基本认知，认可技术驱动的商业价值；   · 具备优秀的沟通表达能力、强烈的目标感与抗压能力，渴望挑战高薪；   · 热爱销售工作，服务意识强，有想法、有冲劲，善于学习与成长；   · 1-3年销售经验为佳，但能力优秀者欢迎应届生/跨行业精英加入（统招大专及以上学历）。    【为什么选择我们？】    【一、收入丰厚，激励多元】    · 薪资结构：底薪4800-7500（面试定薪）+ 高额提成 + 多元化激励（月度奖金、红包激励、冲刺激励等）；   · 休息时间：早九晚六，固定大小周   · 快速回报：线索库充足、销售周期短，最快可实现“当天拜访、当天成交、当天拿提成”，综合收入11K-30K+，当月工资月底即发；   · 荣誉体系：设有月度金牌/银牌销售、达人奖等，奖励丰厚，认可及时。    【二、成长加速，前景清晰】   · 专业带教：入职即享一周带薪培训，由来自阿里、百度、字节等大厂的销冠或管理骨干担任导师，一对一指导，手把手带你开单；   · 快速晋升：每年2次晋升调薪机会，业绩突出者最快5-8个月可晋升为主管；   · 双通道发展：   · 专业线：初级销售 → 中级 → 高级 → 资深 → 销售专家   · 管理线：销售专员 → 储备主管 → 销售主管 → 销售经理 → 区域负责人    【三、平台靠谱，氛围暖心】   · 强大背景：阿里投资的头部AI科技企业，处于快速发展期，赛道前景广阔；   · 团队年轻：同事多为95后-00后，扁平化管理，氛围开放、轻松、互帮互助；   · 福利完善：试用期即缴纳五险一金，享有节日礼物、年度体检、带薪年假、结婚生子贺礼等贴心福利。    【四、加入我们，你将获得】   · 一个处于人工智能风口的优质平台与产品；   · 一份高回报、快节奏、强赋能的销售事业；   · 一群来自大厂、有能力、愿分享的战友与导师；   · 一条清晰、快速、充满可能的职业成长路径。   如果你渴望在AI浪潮中创造价值，挑战高薪，实现快速成长——欢迎投递简历，与我们聊聊！,探迹科技，是专注于数字生产力的大模型智能体平台，以人工智能和大数据助力全球企业成长。基于“太擎”企业级的大模型智能体开发平台和“旷广湖”数据云底座，探迹科技构建了涵盖 B2B与B2C核心场景的 AI Agent和 AI...
SLS-SW-0046,saas软件销售,广州·越秀·光塔,面议,上市公司,北京三快在线科技有限公司,10000人以上,互联网,1、负责美团该地区本地商户餐饮生态产品的售卖，快速找到目标意向客户，再通过电话或面访的形式约见客户，为客户解决问题，达成合作协议。2、执行公司的市场策略及政策，达成业绩考核及个人成长的各项目标3、与公司各部门配合，及时处理用户的反馈、投诉和建议，提高用户满意度。4、归档和更新所有目标商户拜访、协议、服务条款等有关的文件和数据，确保客户信息在数据库中得到正确的维护。我们希望你是什么样的人:1.学习能力强。擅长主动汲取信息和知识，头脑灵活。2.拥有一颗坚强的内心，面对困难不轻言放弃，坚持不懈勇往直前。3.怀揣梦想。有自己的梦想和心愿，我们愿和你一同去实现。4.正直可靠。品行端正，积极阳光的你，我们都爱。5.勇于挑战。敢于突破自我，为自己设定高目标，经常挑战不可能。6.热爱生活。个性开朗，富有激情，喜好餐饮行业、吃货，我们会有共同话题的。7.热爱互联网行业，有连锁客户，餐饮公司拓展工作经历。,美团是一家科技零售公司。美团以“零售+科技”的战略践行“帮大家吃得更好，生活更好”的公司使命。自2010年3月成立以来，美团持续推动服务零售和商品零售在需求侧和供给侧的数字化升级，和广大合作伙伴一起努...
MIS-INF-0084,Java,广州·番禺·化龙,1-1.2万,股份制企业,同方鼎欣科技股份有限公司,1000-9999人,IT服务,1、本科及以上学历，计算机相关专业2、5年以上Java开发经验3、参与过完整的Web应用开发项目4、有金融行业项目经验优先5、有微服务架构开发经验优先技术能力（必备）：1. Java基础（核心）：（1）扎实的Java SE基础：o 熟练掌握Java语法和面向对象编程o 理解常用设计模式（单例/工厂/策略/观察者等）o 熟悉集合框架（List/Set/Map/Queue）o 了解多线程编程基础o 了解IO流和网络编程（2） Spring框架：o 熟练使用Spring Boot进行Web开发o 理解Spring IOC和AOP原理o 熟练使用Spring MVC开发RESTful APIo 了解Spring Security安全框架2. Web开发能力：（1） 后端开发：o 熟练使用MyBatis/MyBatis Plus进行数据访问o 能够设计和开发RESTful APIo 理解MVC架构模式o 能够进行参数校验和异常处理（2）数据库操作：o 熟练编写SQL（CRUD/Join/Group By/子查询）o 了解索引设计和SQL优化基础o 熟悉MySQL数据库o 了解事务处理和锁机制3. 常用技术框架：（1）ORM框架：熟练使用MyBatis/MyBatis Plus（2）Web框架：熟练使用Spring Boot（3）工具库：熟悉Hutool/Guava/Apache Commons等工具库4. 中间件使用：（1）缓存：会使用Redis进行缓存设计（2）消息队列（加分项）：了解Kafka/RabbitMQ基本使用（3）定时任务：了解XXL-JOB/Spring Scheduler使用5. 工具和流程：（1）熟练使用Git进行版本管理（2）熟悉Maven/Gradle构建工具（3）了解Jenkins/GitLab CI等持续集成（4）会使用Postman/Swagger进行接口测试（5）了解Docker基本使用,同方鼎欣科技股份有限公司（以下简称：同方鼎欣）是服务中国及全球的高端IT解决方案与服务提供商。同方鼎欣一直致力于以自主创新的技术推动信息化革新。公司成立于1994年，前身是清华大学首家校办企业，现为同...
OTH-OTH-0084,电脑导购（接受小白/提供住宿）,广州·天河·石牌,6000-11000元,民营,广东创众智网络科技有限公司,100-299人,计算机硬件,不打电话!不用外出!坐班制!工作内容:1、纯线上接待解答，不打电话，公司提供客户资源和渠道，2·在微信小程序淘宝京东等等其他平台，上沟通，解答和促进订单。应聘要求:1、学历不限，经验不限，活泼开朗2、会打字会上网即可，具备良好沟通能力3、需要到公司办公，入职有老员工带，工作简单好上手。待遇:1、购买五险、提供宿舍，全勤奖，个人奖，团队奖，分红奖，达标奖等等2、住宿:公司提供宿舍，家电齐全3、早九晚6.30，午休一个半小时4、免费下午茶、团建、创意生日会等5.同事多数是00后，好相处，快来加入我们吧,广东创众智网络科技有限公司办公室地址位于中国的南大门羊城广州，广州广州市天河区龙口中路130号A栋3层自编303房（仅限办公用途），注册资本为1000万，广东创众智网络科技集团有限公司成立于2009年，现有员...
DEV-GEN-0101,SW中级软件工程师（JAVA）,广州·黄埔·联和,1-1.2万,民营,广州仁合时创信息技术有限公司,500-999人,IT服务,1.教育背景  学信网可查本科及以上学历，计算机、数学、电力电气、工程类、通信、自动化等理工类相关专业优先  2.工作经验  专科及以上学历，3年及以上相关工作经验。  3.技术能力  掌握java语言和设计模式，能独立完成功能模块的设计、开发、单元测试；  具备良好的系统分析设计能力，掌握面向对象分析与设计的方法;  掌握Spring MVC、Spring boot、spring cloud、MyBatis等开源框架，掌握分布式开发技术;  4.综合素质  具备良好的文档阅读、编辑能力。  具备良好的编码习惯及逻辑分析能力；  具有良好的客户服务意识，责任心强，良好的心理素质；  具备良好的职业素养，学习能力，良好的沟通协调能力和团队协作精神，较强的应变能力。  1、高效完成所负责较复杂功能的概要设计、开发任务执行，以及重构、优化负责和缺陷消缺、紧急开发任务执行； 2、完成模块的概要设计、功能设计重构、代码审计与重构，以及技术架构优化、重构，协助配置组长完成集成、部署架构规划、重构； 3、协助技术组长与平台和第三方技术沟通、设计技术解决方案，确保技术层面工作交付质量和进度； 4、主动探索功能设计、开展产品功能重构，提升产品性能和质量； 5、完成对团队的技术难题协助、指导、兜底解决； 6、完成其它或临时性工作。,广州仁合时创信息技术有限公司成立于2018年，是一家专注于“电力+互联网”技术服务的高新技术企业。我们致力于为电力行业提供高效、创新的一站式IT解决方案与技术服务，业务范围覆盖运维管理系统开发、自动化...
SLS-SW-0047,软件销售/设计软件/二维/三维,广州·番禺·南村,1.2-2.4万·13薪,外商独资,鸣意信息科技(上海)有限公司,20-99人,计算机软件,岗位职责：1. 负责通用类设计软件的销售工作。2. 维护现有客户关系，开拓新客户，完成销售目标。岗位要求：1. 本科及以上学历，统招，不接受专升本，不限制院校类型。2. 年龄在25岁-33岁之间，性别不限。3. 最近一份工作在职时长需大于1年。4. 具有通用类设计软件销售经验者，例如以下厂商/产品的销售经验优先：Autodesk、Adobe、PTC、Eplan、VMware、Cadence、Minitab、Unreal、Solidworks、Maxon等。,
OTH-OTH-0085,市场销售专员（软件产品）,广州·黄埔·联和,1-1.5万,民营,北京众城比泰科技有限责任公司,100-299人,计算机软件,岗位职责：    1、负责公司软件产品和解决方案的宣传讲解；    2、与客户建立良好关系，保持沟通；    3、协助顾问咨询开展销售工作；    任职要求：  1.大专及以上学历，市场营销或IT专业优先；    2.具备良好的沟通能力，喜欢与人沟通；    3.自信、乐观、勤奋、能出差；      职位福利：五险一金、年底双薪、交通补助、通讯补助、带薪年假、定期体检、员工旅游、周末双休,"北京众城比泰科技有限责任公司成立于2008年，注册资本1000万，总部在北京海淀区中关村，石家庄，武汉，广州，成都设有分公司，凭借专业的""顾问咨询+标准产品+定制实施""技术服务模式，基于自主知识产权符合W..."
DEV-EMB-0054,软件工程师（X-RAY & CT）,广州·番禺,1.9-3.5万,股份制企业,超音速人工智能科技股份有限公司,500-999人,工业自动化,岗位职责：1.负责上位机软件的架构设计、开发与优化，尤其在锂电池检测相关功能的实现；2.深入参与核心软件模块的开发，包括图像处理、数据分析和用户界面设计；3.进行系统集成与测试，确保软件与硬件的无缝对接，并进行问题调试与优化；4.根据2D/3D成像设备的功能需求，进行设备控制软件的开发&维护工作；5.负责X-RAY & CT软件开发和维护。岗位要求：1.计算机科学、软件工程、电子工程或相关专业本科及以上学历；2.具备5年以上上位机软件开发经验，尤其在工业CT或相关领域；3.精通C++、C#或其他相关编程语言，具有丰富的多线程编程经验，具有良好的编程基础与规范；4.熟悉新能源行业，有工业／新能源CT系统软件开发经验优先；5.具备良好的问题分析能力和团队合作精神，良好的沟通能力，能够与跨部门团队有效合作,超音速人工智能科技股份有限公司（股票代码:833753）成立于2010年7月，坐落于粤港澳大湾区石基华创产业园，是一家专注于AI+机器视觉智能装备的国家高新技术企业。已申请专利1000多项、软件著作权100...
DEV-EMB-0055,软件开发工程师,广州·海珠·江海,1.1-1.8万·14薪,国企,广州广有通信设备有限公司,100-299人,通信/网络设备,岗位职责：1. 负责低代码开发平台、流程引擎及业务服务的架构设计与核心模块开发，构建高性能、可扩展的技术平台2. 开发可视化建模工具、动态表单引擎、流程解析器等核心组件，实现业务流程自动化与快速应用构建3. 优化平台性能，包括组件渲染、流程执行、分布式事务等关键环节，确保系统高并发下的稳定性4. 设计平台安全体系，实现用户认证、数据加密、漏洞防护等功能，满足军事级安全要求  任职要求：  1. 本科及以上学历，计算机、软件工程等相关专业  2. 精通C++，熟悉低代码平台原理或流程引擎（如Activiti/Camunda）开发  3. 具备微服务架构、分布式系统、高性能存储等开发经验  4. 有低代码平台、流程引擎或指挥信息系统开发经验者优先,广州广有通信设备有限公司（下简称“公司”）成立于2002年12月，前身为广州有线电厂（1956年成立）。公司专业从事通信系统的研发、制造及服务，现已成为我国指挥控制系统、综合指挥调度系统、信息化融合指...
DEV-EMB-0056,嵌入式软件工程师,广州·白云·三元里,6000-10000元,民营,北京联力康医疗器械有限公司,20-99人,医疗设备/器械,"岗位职责： 1、 负责设计、开发公司嵌入式医电产品部分底层驱动软件的编写与优化； 2、 负责编写高质量的代码和技术文档 3、 产品软件测试环境的搭建、测试、调试和优化； 4、 协调试产阶段软件功能点测试实验和调试； 5、 与硬件工程师合作，确保软件与硬件的无缝集成 6、 协调和参与公司软件团队的核心算法的研发； 任职资格要求： 1、 本科及以上学历，电子工程、通信、自动化、计算机等相关专业； 2、 精通C/C++等语言的应用编程，能够独立进行程序开发，具有2年以上嵌入式软件开发相关工作经验，熟悉嵌入式操作系统者优先； 3、 精通单片机程序开发，熟STM32,ESP32等系列微控制器及开发环境，ARM开发平台、Keil及IAR软件开发平台；熟悉各种串口通信协议，并能完成程序编写及调试，有FreeRTOS或其他实时操作系统的经验； 4、 有LVGL或QT框架的UI经验； 5、 熟悉智能控制算法、机器学习算法的嵌入式平台实践应用； 6、 有较强的动手操作能力，善于学习新的知识，乐于发现，分析和解决复杂问题； 7、 具备良好的沟通与协调能力，良好的团队合作意识，较强的责任感及进取精神。",北京联力康医疗器械有限公司是一家以“大外科手术器械及耗材、体外诊断设备及耗材”为主营方向的高科技商业公司，兼顾提供医疗器械项目咨询、策划及营销管理服务。公司营销网络遍布全国各主要城市，特别是各省会...
DEV-BE-0127,开源软件技术专家（微服务方向）(J15092),广州·黄埔·联和,1.2-1.8万,股份制企业,先进数通,1000-9999人,IT服务,岗位职责:  1、负责银行业务系统的开发与测试  2、负责完成系统功能的概要及详细设计和数据库设计；  3、负责完成系统模块功能实现，及单元测试工作，保证交付质量;  4、配合测试部门完成系统测试和业务验收测试，解决测试接口人提交的bug和提供改进建议，完成系统的版本迭代升级工作。  5、配合运维人员完成系统的更新上线，及时对生产线问题提供必要的支持，并负责解决。  6、编写与维护系统开发过程中的相关文档  7、完成公司领导或项目经理安排的其它工作  任职要求:  1、计算机基础知识扎实，统招本科，学信网可查，对开源软件技术有浓厚兴趣和高度敏感，有较强的学习能力；  2、扎实的java技术基础，理解IO、多线程、集合等基础框架，对JVM原理有一定的了解，有JVM性能优化经验优先；  3、熟练使用linux操作系统，具有很强的问题分析定位能力及系统调优能力；  4、对主流的Spring、SpringBoot等JAVA开源技术框架有人深入了解，有基于源码扩展的开发经验，有参与到相关开源社区并贡献关键技术性代码的优先；  5、熟悉微服务技术原理，深入理解服务注册发现、配置中心、负载均衡、熔断限流、链路追踪等机制；  6、对分布式架构下常用的开源软件有深入了解、实施和性能调优经验者优先：  （6.1）熟悉Redis数据库系统的管理和维护，对内存数据库技术及其应用有深入的了解，具备Redis集群、高可用架构、数据迁移、备份和恢复等方面的操作和维护实战经验，开源社区活跃者或贡献者优先；  （6.2）熟悉Nacos、Zookeeper等常见的注册中心开源软件，至少对其中一款注册中心的架构和原理有深入了解，有大规模集群优化经验、参与开源社区的经验优先；  （6.3）熟悉RocketMQ、Kafka等常见的消息中间件，至少对其中一款消息中间件的架构和原理有深入了解，有大规模集群优化经验、参与开源社区的经验优先；  （6.4）熟悉搜索引擎中的常用算法，熟悉Lucene/elasticsearch等的开源搜索引擎程序结构，能做比较深入的二次开发，具有信息检索、信息挖掘相关方面经验者优先；  （6.5）熟悉实时计算的运维体系建设与稳定性保障，对Flink架构和底层有深入理解，掌握Flink Table API & SQL的使用和性能调优技巧，熟悉Flink生态、开源社区活跃者优先；,北京先进数通信息技术股份公司成立于2000年10月，是一家致力于金融信息化建设的软件和集成服务企业，于2016年在深圳上市，股票代码300541。业务涵盖银行、保险、证劵、互联网、零售、企业及政府等行业，...
TEST-SWE-0029,软件测试工程师（人资系统）,广州·番禺·化龙,9000-11000元,民营,深圳建广数字科技有限公司青岛分公司,20人以下,计算机软件,"技能要求：1、本科及以上学历，计算机、信息管理、财务或相关专业；2、热爱计算机科学和互联网技术，对软件质量保障工作有浓厚兴趣；3、熟悉测试流程，熟悉黑盒和集成测试，能主导项目测试。4、快速适应和学习能力，善于发现和定位问题；5、熟悉薪酬计算逻辑（如应发合计、扣款项、实发工资等），有大型企业HR系统测试经验者优先；6、了解常用客户端、服务端开发或测试工具， 如自动化框架、压测工具、大数据处理工具者优先。岗位职责：1、负责人力相关系统（如核心人事、薪酬、福利、绩效、人才管理等）的功能测试，包括需求分析、评审、测试用例设计及执行等；2、参与人力相关产品研发，精准定位并提交缺陷，推动开发团队修复，跟进问题闭环，确保系统稳定性；3、推动测试流程标准化及提升测试效率""",深圳建广数字科技有限公司是中国领先的传统产业数字化转型完整IT解决方案和端到端IT服务的提供商。公司在北京、上海、广州、深圳、武汉、青岛、大连、无锡等地均设有分支机构。二十余年来一直在数字化转型领域...
